PHYS_ACT_PHRASE,Category,METs,calPerHour_METxWtInKGxTimeInHrs
eat a salad,35,1.5,121.05
eat a sandwich,35,1.5,121.05
eat a shit ton,35,1.5,121.05
eat a slice,35,1.5,121.05
eat a snack,35,1.5,121.05
eat a snickers,35,1.5,121.05
eat a steak,35,1.5,121.05
eat a taco,35,1.5,121.05
eat a twinkie,35,1.5,121.05
eat a whole,35,1.5,121.05
eat a whole bag of,35,1.5,121.05
eat a whole box of,35,1.5,121.05
eat after,35,1.5,121.05
eat after church,35,1.5,121.05
eat after this,35,1.5,121.05
eat after work,35,1.5,121.05
eat again,35,1.5,121.05
eat again lol,35,1.5,121.05
eat all,35,1.5,121.05
eat all day,35,1.5,121.05
eat all my food,35,1.5,121.05
eat all of,35,1.5,121.05
eat all of it,35,1.5,121.05
eat all of that,35,1.5,121.05
eat all of them,35,1.5,121.05
eat all of this,35,1.5,121.05
eat all that,35,1.5,121.05
eat all that food,35,1.5,121.05
eat all the,35,1.5,121.05
eat all the cookies,35,1.5,121.05
eat all the food,35,1.5,121.05
eat all the ice cream,35,1.5,121.05
eat all the time,35,1.5,121.05
eat all this,35,1.5,121.05
eat all this food,35,1.5,121.05
eat alone,35,1.5,121.05
eat alot,35,1.5,121.05
eat already,35,1.5,121.05
eat an,35,1.5,121.05
eat an apple,35,1.5,121.05
eat an entire,35,1.5,121.05
eat an oreo,35,1.5,121.05
eat and,35,1.5,121.05
eat and chill,35,1.5,121.05
eat and do,35,1.5,121.05
eat and drink,35,1.5,121.05
eat and eat,35,1.5,121.05
eat and eat and,35,1.5,121.05
eat and eat and eat,35,1.5,121.05
eat and get,35,1.5,121.05
eat and get ready,35,1.5,121.05
eat and go,35,1.5,121.05
eat and go back to sleep,35,1.5,121.05
eat and go home,35,1.5,121.05
eat and go to,35,1.5,121.05
eat and go to bed,35,1.5,121.05
eat and go to sleep,35,1.5,121.05
eat and lay down,35,1.5,121.05
eat and leave,35,1.5,121.05
eat and nap,35,1.5,121.05
eat and relax,35,1.5,121.05
eat and run,35,1.5,121.05
eat and shop,13,2.3,185.61
eat and shop,14,1.5,121.05
eat and shower,35,1.5,121.05
eat and shower,34,2,161.4
eat and sleep,35,1.5,121.05
eat and smoke,35,1.5,121.05
eat and study,35,1.5,121.05
eat and stuff,35,1.5,121.05
eat and take a nap,35,1.5,121.05
eat and then,35,1.5,121.05
eat and tweet,35,1.5,121.05
eat and watch,35,1.5,121.05
eat and watch,16,1.3,104.91
eat and watch movies,16,1.3,104.91
eat and watch movies,14,1.5,121.05
eat and watch tv,16,1.3,104.91
eat and watch tv,14,1.5,121.05
eat another,35,1.5,121.05
eat any of,35,1.5,121.05
eat anything else,35,1.5,121.05
eat b,35,1.5,121.05
eat bacon,35,1.5,121.05
eat because i'm bored,35,1.5,121.05
eat because i'm hungry,35,1.5,121.05
eat because i'm unhappy,35,1.5,121.05
eat beef,35,1.5,121.05
eat before,35,1.5,121.05
eat before bed,35,1.5,121.05
eat before class,35,1.5,121.05
eat before i,35,1.5,121.05
eat before i go,35,1.5,121.05
eat before or after,35,1.5,121.05
eat before practice,35,1.5,121.05
eat before work,35,1.5,121.05
eat bread,35,1.5,121.05
eat breakfast,35,1.5,121.05
eat breakfast at,35,1.5,121.05
eat breakfast today,35,1.5,121.05
eat breakfast with,35,1.5,121.05
eat breakfast with me,35,1.5,121.05
eat buffet,35,1.5,121.05
eat cake for breakfast,35,1.5,121.05
eat candy,35,1.5,121.05
eat cereal,35,1.5,121.05
eat cereal at night,35,1.5,121.05
eat cheese,35,1.5,121.05
eat chicken,35,1.5,121.05
eat chicken wings,35,1.5,121.05
eat chinese,35,1.5,121.05
eat chinese food,35,1.5,121.05
eat chinese tonight,35,1.5,121.05
eat chipotle,35,1.5,121.05
eat chips,35,1.5,121.05
eat chips and salsa,35,1.5,121.05
eat chocolate,35,1.5,121.05
eat cookies,35,1.5,121.05
eat da,35,1.5,121.05
eat dat,35,1.5,121.05
eat dinner,35,1.5,121.05
eat dinner and,35,1.5,121.05
eat dinner at,35,1.5,121.05
eat dinner now,35,1.5,121.05
eat dis,35,1.5,121.05
eat eat,35,1.5,121.05
eat eat and eat,35,1.5,121.05
eat eat eat,35,1.5,121.05
eat eat time,35,1.5,121.05
eat eggs,35,1.5,121.05
eat em,35,1.5,121.05
eat em all,35,1.5,121.05
eat enough,35,1.5,121.05
eat every,35,1.5,121.05
eat every hour,35,1.5,121.05
eat every night,35,1.5,121.05
eat everything,35,1.5,121.05
eat everything in my fridge,35,1.5,121.05
eat everything in my house,35,1.5,121.05
eat everything in sight,35,1.5,121.05
eat everything in site,35,1.5,121.05
eat everything in the fridge,35,1.5,121.05
eat everything in the house,35,1.5,121.05
eat fast,35,1.5,121.05
eat fast food,35,1.5,121.05
eat fast food everyday,35,1.5,121.05
eat first,35,1.5,121.05
eat fish,35,1.5,121.05
eat food,35,1.5,121.05
eat free,35,1.5,121.05
eat fried chicken,35,1.5,121.05
eat fruit,35,1.5,121.05
eat good,35,1.5,121.05
eat good today,35,1.5,121.05
eat good tonight,35,1.5,121.05
eat half,35,1.5,121.05
eat half of it,35,1.5,121.05
eat healthy,35,1.5,121.05
eat healthy today,35,1.5,121.05
eat here,35,1.5,121.05
eat here everyday,35,1.5,121.05
eat here more often,35,1.5,121.05
eat hot,35,1.5,121.05
eat hot cheetos,35,1.5,121.05
eat hot dogs,35,1.5,121.05
eat hot wings,35,1.5,121.05
eat ice,35,1.5,121.05
eat ice cream,35,1.5,121.05
eat ice cream for breakfast,35,1.5,121.05
eat ice cream with me,35,1.5,121.05
eat it all,35,1.5,121.05
eat it all lol,35,1.5,121.05
eat it all myself,35,1.5,121.05
eat it all up,35,1.5,121.05
eat it anyways,35,1.5,121.05
eat it then i go back,35,1.5,121.05
eat junk,35,1.5,121.05
eat junk food,35,1.5,121.05
eat junk food and,35,1.5,121.05
eat later,35,1.5,121.05
eat less,35,1.5,121.05
eat like,35,1.5,121.05
eat like a,35,1.5,121.05
eat like a baby dinosaur,35,1.5,121.05
eat like a bird,35,1.5,121.05
eat like a boss,35,1.5,121.05
eat like a cow,35,1.5,121.05
eat like a fat,35,1.5,121.05
eat like a fat ass,35,1.5,121.05
eat like a fat person,35,1.5,121.05
eat like a fatass,35,1.5,121.05
eat like a fatty,35,1.5,121.05
eat like a king,35,1.5,121.05
eat like a man,35,1.5,121.05
eat like a pig,35,1.5,121.05
eat like every,35,1.5,121.05
eat like i'm,35,1.5,121.05
eat like one,35,1.5,121.05
eat like shit,35,1.5,121.05
eat like there's no tomorrow,35,1.5,121.05
eat lol,35,1.5,121.05
eat lol http,35,1.5,121.05
eat lots,35,1.5,121.05
eat lots of,35,1.5,121.05
eat lots of candy,35,1.5,121.05
eat lots of food,35,1.5,121.05
eat lots of turkey,35,1.5,121.05
eat lunch,35,1.5,121.05
eat lunch at,35,1.5,121.05
eat lunch by myself,35,1.5,121.05
eat lunch outside,35,1.5,121.05
eat lunch today,35,1.5,121.05
eat lunch w,35,1.5,121.05
eat lunch with,35,1.5,121.05
eat lunch with me,35,1.5,121.05
eat lunch with you,35,1.5,121.05
eat mcdonald's,35,1.5,121.05
eat mcdonalds,35,1.5,121.05
eat me some,35,1.5,121.05
eat meat,35,1.5,121.05
eat mexican,35,1.5,121.05
eat mexican food,35,1.5,121.05
eat more,35,1.5,121.05
eat more bacon,35,1.5,121.05
eat more food,35,1.5,121.05
eat more lol,35,1.5,121.05
eat more than,35,1.5,121.05
eat my breakfast,35,1.5,121.05
eat my cake,35,1.5,121.05
eat my cereal,35,1.5,121.05
eat my chinese food,35,1.5,121.05
eat my dinner,35,1.5,121.05
eat my feelings,35,1.5,121.05
eat my feelings away,35,1.5,121.05
eat my food,35,1.5,121.05
eat my food and,35,1.5,121.05
eat my fries,35,1.5,121.05
eat my ice,35,1.5,121.05
eat my ice cream,35,1.5,121.05
eat my lunch,35,1.5,121.05
eat my lunch in peace,35,1.5,121.05
eat my noodles,35,1.5,121.05
eat my pizza,35,1.5,121.05
eat my pudding,35,1.5,121.05
eat my salad,35,1.5,121.05
eat my sandwich,35,1.5,121.05
eat my spaghetti,35,1.5,121.05
eat my vegetables,35,1.5,121.05
eat my weight in,35,1.5,121.05
eat n,35,1.5,121.05
eat n drink,35,1.5,121.05
eat n sleep,35,1.5,121.05
eat noodles,35,1.5,121.05
eat now,35,1.5,121.05
eat one,35,1.5,121.05
eat one meal a day,35,1.5,121.05
eat or something,35,1.5,121.05
eat outside,35,1.5,121.05
eat pancakes,35,1.5,121.05
eat pizza,35,1.5,121.05
eat pizza and,35,1.5,121.05
eat pizza hut,35,1.5,121.05
eat pizza rolls,35,1.5,121.05
eat pizza with,35,1.5,121.05
eat popcorn,35,1.5,121.05
eat pork,35,1.5,121.05
eat ramen,35,1.5,121.05
eat ramen noodles,35,1.5,121.05
eat real food,35,1.5,121.05
eat real good,35,1.5,121.05
eat real quick,35,1.5,121.05
eat rice,35,1.5,121.05
eat right now,35,1.5,121.05
eat salad,35,1.5,121.05
eat seafood,35,1.5,121.05
eat shrimp,35,1.5,121.05
eat sleep,35,1.5,121.05
eat sleep and shit,35,1.5,121.05
eat smh,35,1.5,121.05
eat some,35,1.5,121.05
eat some breakfast,35,1.5,121.05
eat some cake,35,1.5,121.05
eat some cereal,35,1.5,121.05
eat some cereal and,35,1.5,121.05
eat some chicken,35,1.5,121.05
eat some chips,35,1.5,121.05
eat some chocolate,35,1.5,121.05
eat some cookies,35,1.5,121.05
eat some dinner,35,1.5,121.05
eat some food,35,1.5,121.05
eat some food and,35,1.5,121.05
eat some fruit,35,1.5,121.05
eat some good,35,1.5,121.05
eat some good food,35,1.5,121.05
eat some ice cream,35,1.5,121.05
eat some lunch,35,1.5,121.05
eat some more,35,1.5,121.05
eat some more food,35,1.5,121.05
eat some noodles,35,1.5,121.05
eat some pizza,35,1.5,121.05
eat some popcorn,35,1.5,121.05
eat some soup,35,1.5,121.05
eat some steak,35,1.5,121.05
eat some sushi,35,1.5,121.05
eat some tacos,35,1.5,121.05
eat some turkey,35,1.5,121.05
eat somethin,35,1.5,121.05
eat something and,35,1.5,121.05
eat something before,35,1.5,121.05
eat something before i,35,1.5,121.05
eat something lol,35,1.5,121.05
eat something now,35,1.5,121.05
eat something sweet,35,1.5,121.05
eat somewhere,35,1.5,121.05
eat soon,35,1.5,121.05
eat soup,35,1.5,121.05
eat spaghetti,35,1.5,121.05
eat steak,35,1.5,121.05
eat subway,35,1.5,121.05
eat sum,35,1.5,121.05
eat sum ice cream,35,1.5,121.05
eat sushi,35,1.5,121.05
eat taco bell,35,1.5,121.05
eat tacos,35,1.5,121.05
eat that chicken,35,1.5,121.05
eat that food,35,1.5,121.05
eat that fruit,35,1.5,121.05
eat that sandwich,35,1.5,121.05
eat that shit for breakfast,35,1.5,121.05
eat that too,35,1.5,121.05
eat them all,35,1.5,121.05
eat them like candy,35,1.5,121.05
eat them too,35,1.5,121.05
eat then,35,1.5,121.05
eat then back,35,1.5,121.05
eat then bed,35,1.5,121.05
eat then do it again,35,1.5,121.05
eat then go,35,1.5,121.05
eat then go back,35,1.5,121.05
eat then go to sleep,35,1.5,121.05
eat then leave,35,1.5,121.05
eat then lol,35,1.5,121.05
eat then shower,35,1.5,121.05
eat then sleep,35,1.5,121.05
eat there,35,1.5,121.05
eat there everyday,35,1.5,121.05
eat there lol,35,1.5,121.05
eat these,35,1.5,121.05
eat this,35,1.5,121.05
eat this cake,35,1.5,121.05
eat this food,35,1.5,121.05
eat this ice cream,35,1.5,121.05
eat this late,35,1.5,121.05
eat this morning,35,1.5,121.05
eat this pizza,35,1.5,121.05
eat this spaghetti,35,1.5,121.05
eat tho,35,1.5,121.05
eat those,35,1.5,121.05
eat though,35,1.5,121.05
eat tht,35,1.5,121.05
eat till,35,1.5,121.05
eat today,35,1.5,121.05
eat together,35,1.5,121.05
eat tomorrow,35,1.5,121.05
eat tonight,35,1.5,121.05
eat too,35,1.5,121.05
eat too damn much,35,1.5,121.05
eat too fast,35,1.5,121.05
eat too much,35,1.5,121.05
eat too much lol,35,1.5,121.05
eat turkey,35,1.5,121.05
eat turkey bacon,35,1.5,121.05
eat turkey on thanksgiving,35,1.5,121.05
eat two,35,1.5,121.05
eat until,35,1.5,121.05
eat until i,35,1.5,121.05
eat w,35,1.5,121.05
eat w me,35,1.5,121.05
eat whatever,35,1.5,121.05
eat whatever i want,35,1.5,121.05
eat while,35,1.5,121.05
eat wings,35,1.5,121.05
eat wit,35,1.5,121.05
eat wit me,35,1.5,121.05
eat wit us,35,1.5,121.05
eat with,35,1.5,121.05
eat with chopsticks,35,1.5,121.05
eat with family,35,1.5,121.05
eat with me,35,1.5,121.05
eat with my,35,1.5,121.05
eat with my dad,35,1.5,121.05
eat with my fam,35,1.5,121.05
eat with my family,35,1.5,121.05
eat with my mom,35,1.5,121.05
eat with my mommy,35,1.5,121.05
eat with my parents,35,1.5,121.05
eat with the,35,1.5,121.05
eat with the fam,35,1.5,121.05
eat with the family,35,1.5,121.05
eat with them,35,1.5,121.05
eat with u,35,1.5,121.05
eat with us,35,1.5,121.05
eat with you,35,1.5,121.05
eat without,35,1.5,121.05
eat without getting sick,35,1.5,121.05
eat yogurt,35,1.5,121.05
eat your veggies,35,1.5,121.05
eating,35,1.5,121.05
eating a,35,1.5,121.05
eating a apple,35,1.5,121.05
eating a bagel,35,1.5,121.05
eating a bagel and,35,1.5,121.05
eating a banana,35,1.5,121.05
eating a big ass bowl of,35,1.5,121.05
eating a big mac,35,1.5,121.05
eating a bowl,35,1.5,121.05
eating a bowl of,35,1.5,121.05
eating a bowl of cereal,35,1.5,121.05
eating a brownie,35,1.5,121.05
eating a bunch,35,1.5,121.05
eating a burger,35,1.5,121.05
eating a burrito,35,1.5,121.05
eating a candy cane,35,1.5,121.05
eating a cheeseburger,35,1.5,121.05
eating a cookie,35,1.5,121.05
eating a corn dog,35,1.5,121.05
eating a cup of noodles,35,1.5,121.05
eating a delicious dinner,35,1.5,121.05
eating a donut,35,1.5,121.05
eating a freeze pop,35,1.5,121.05
eating a granola bar,35,1.5,121.05
eating a honey bun,35,1.5,121.05
eating a hot,35,1.5,121.05
eating a hot dog,35,1.5,121.05
eating a hot pocket,35,1.5,121.05
eating a hotdog,35,1.5,121.05
eating a hotpocket,35,1.5,121.05
eating a kit kat,35,1.5,121.05
eating a late,35,1.5,121.05
eating a late lunch,35,1.5,121.05
eating a lot,35,1.5,121.05
eating a lot lately,35,1.5,121.05
eating a lunchable,35,1.5,121.05
eating a mango,35,1.5,121.05
eating a pb,35,1.5,121.05
eating a peanut butter and,35,1.5,121.05
eating a peanut butter sandwich,35,1.5,121.05
eating a pickle,35,1.5,121.05
eating a piece of pizza,35,1.5,121.05
eating a pizza,35,1.5,121.05
eating a pop tart,35,1.5,121.05
eating a popsicle,35,1.5,121.05
eating a poptart,35,1.5,121.05
eating a pretzel,35,1.5,121.05
eating a salad,35,1.5,121.05
eating a sammich,35,1.5,121.05
eating a sandwhich,35,1.5,121.05
eating a sandwich,35,1.5,121.05
eating a shit ton,35,1.5,121.05
eating a slice of pizza,35,1.5,121.05
eating a slim jim,35,1.5,121.05
eating a snickers,35,1.5,121.05
eating a steak,35,1.5,121.05
eating a taco,35,1.5,121.05
eating a ton,35,1.5,121.05
eating a torta,35,1.5,121.05
eating a whole,35,1.5,121.05
eating a whole bag,35,1.5,121.05
eating after,35,1.5,121.05
eating again,35,1.5,121.05
eating all,35,1.5,121.05
eating all day,35,1.5,121.05
eating all my candy,35,1.5,121.05
eating all my food,35,1.5,121.05
eating all of,35,1.5,121.05
eating all that,35,1.5,121.05
eating all that food,35,1.5,121.05
eating all the,35,1.5,121.05
eating all the candy,35,1.5,121.05
eating all the food,35,1.5,121.05
eating all the samples,35,1.5,121.05
eating all this candy,35,1.5,121.05
eating all this food,35,1.5,121.05
eating all this junk food,35,1.5,121.05
eating almonds,35,1.5,121.05
eating alone,35,1.5,121.05
eating alone at,35,1.5,121.05
eating alone at a restaurant,35,1.5,121.05
eating alot,35,1.5,121.05
eating an,35,1.5,121.05
eating an apple,35,1.5,121.05
eating an apple and,35,1.5,121.05
eating an ice cream cone,35,1.5,121.05
eating an ice cream sandwich,35,1.5,121.05
eating an orange,35,1.5,121.05
eating and,35,1.5,121.05
eating and drinking,35,1.5,121.05
eating and shopping,13,2.3,185.61
eating and shopping,14,1.5,121.05
eating and sleeping,35,1.5,121.05
eating and talking,35,1.5,121.05
eating and then going,35,1.5,121.05
eating and watching,16,1.3,104.91
eating and watching,14,1.5,121.05
eating and watching tv,16,1.3,104.91
eating and watching tv,14,1.5,121.05
eating and watching tv with an,16,1.3,104.91
eating and watching tv with an,14,1.5,121.05
eating animal crackers,35,1.5,121.05
eating any,35,1.5,121.05
eating anymore,35,1.5,121.05
eating anything,35,1.5,121.05
eating apple jacks,35,1.5,121.05
eating apple pie,35,1.5,121.05
eating apple sauce,35,1.5,121.05
eating apples,35,1.5,121.05
eating applesauce,35,1.5,121.05
eating at,35,1.5,121.05
eating at a,35,1.5,121.05
eating at a restaurant,35,1.5,121.05
eating at a restaurant by myself,35,1.5,121.05
eating at applebee's,35,1.5,121.05
eating at buffalo,35,1.5,121.05
eating at chick-fil-a,35,1.5,121.05
eating at chipotle,35,1.5,121.05
eating at dicks,35,1.5,121.05
eating at dicks last resort,35,1.5,121.05
eating at five guys,35,1.5,121.05
eating at hooters,35,1.5,121.05
eating at ihop,35,1.5,121.05
eating at jack in,35,1.5,121.05
eating at mcdonald's,35,1.5,121.05
eating at mcdonalds,35,1.5,121.05
eating at my,35,1.5,121.05
eating at my favorite,35,1.5,121.05
eating at olive garden,35,1.5,121.05
eating at outback,35,1.5,121.05
eating at red lobster,35,1.5,121.05
eating at subway,35,1.5,121.05
eating at the,35,1.5,121.05
eating at this place,35,1.5,121.05
eating at this time,35,1.5,121.05
eating bacon,35,1.5,121.05
eating bagels,35,1.5,121.05
eating bananas,35,1.5,121.05
eating bbq,35,1.5,121.05
eating beef jerky,35,1.5,121.05
eating before,35,1.5,121.05
eating before i go,35,1.5,121.05
eating before work,35,1.5,121.05
eating bread,35,1.5,121.05
eating breakfast,35,1.5,121.05
eating breakfast and,35,1.5,121.05
eating breakfast at,35,1.5,121.05
eating breakfast w,35,1.5,121.05
eating breakfast with,35,1.5,121.05
eating breakfast with my,35,1.5,121.05
eating brownies,35,1.5,121.05
eating brunch,35,1.5,121.05
eating buffalo wings,35,1.5,121.05
eating burger king,35,1.5,121.05
eating burgers,35,1.5,121.05
eating burritos,35,1.5,121.05
eating by,35,1.5,121.05
eating by myself,35,1.5,121.05
eating cake,35,1.5,121.05
eating cake for breakfast,35,1.5,121.05
eating candy,35,1.5,121.05
eating candy all day,35,1.5,121.05
eating captain crunch,35,1.5,121.05
eating carbs,35,1.5,121.05
eating carrots,35,1.5,121.05
eating cereal,35,1.5,121.05
eating cereal and,35,1.5,121.05
eating cereal out of a,35,1.5,121.05
eating cereal with,35,1.5,121.05
eating cheerios,35,1.5,121.05
eating cheese,35,1.5,121.05
eating cheese before going to bed,35,1.5,121.05
eating cheese cake,35,1.5,121.05
eating cheese doodles,35,1.5,121.05
eating cheese puffs,35,1.5,121.05
eating cheesecake,35,1.5,121.05
eating cheetos,35,1.5,121.05
eating cheez-its,35,1.5,121.05
eating cherries,35,1.5,121.05
eating chick fil a,35,1.5,121.05
eating chick-fil-a,35,1.5,121.05
eating chicken,35,1.5,121.05
eating chicken and,35,1.5,121.05
eating chicken noodle soup,35,1.5,121.05
eating chicken nuggets,35,1.5,121.05
eating chicken wings,35,1.5,121.05
eating chili,35,1.5,121.05
eating chinese,35,1.5,121.05
eating chinese food,35,1.5,121.05
eating chinese food again,35,1.5,121.05
eating chinese food with,35,1.5,121.05
eating chinese with,35,1.5,121.05
eating chipotle,35,1.5,121.05
eating chips,35,1.5,121.05
eating chips and,35,1.5,121.05
eating chips and dip,35,1.5,121.05
eating chips and salsa,35,1.5,121.05
eating chocolate,35,1.5,121.05
eating chocolate again,35,1.5,121.05
eating chocolate cake,35,1.5,121.05
eating chocolate chip cookies,35,1.5,121.05
eating chocolate ice cream,35,1.5,121.05
eating cinnamon rolls,35,1.5,121.05
eating cinnamon toast crunch,35,1.5,121.05
eating clean,35,1.5,121.05
eating cold pizza,35,1.5,121.05
eating competition,35,1.5,121.05
eating contest,35,1.5,121.05
eating cookie crisp,35,1.5,121.05
eating cookie dough,35,1.5,121.05
eating cookies,35,1.5,121.05
eating cookies and,35,1.5,121.05
eating cookies and milk,35,1.5,121.05
eating cookies for breakfast,35,1.5,121.05
eating corn,35,1.5,121.05
eating corn on,35,1.5,121.05
eating cotton candy,35,1.5,121.05
eating crab,35,1.5,121.05
eating crabs,35,1.5,121.05
eating crackers,35,1.5,121.05
eating crap,35,1.5,121.05
eating crawfish,35,1.5,121.05
eating cup noodles,35,1.5,121.05
eating cupcakes,35,1.5,121.05
eating delicious food,35,1.5,121.05
eating dessert,35,1.5,121.05
eating dinner,35,1.5,121.05
eating dinner alone,35,1.5,121.05
eating dinner at,35,1.5,121.05
eating dinner in,35,1.5,121.05
eating dinner now,35,1.5,121.05
eating dinner w,35,1.5,121.05
eating dinner with,35,1.5,121.05
eating dinner with mom,35,1.5,121.05
eating dinner with my,35,1.5,121.05
eating dinner with my family,35,1.5,121.05
eating dinner with my mom,35,1.5,121.05
eating dominos,35,1.5,121.05
eating donuts,35,1.5,121.05
eating doritos,35,1.5,121.05
eating doughnuts,35,1.5,121.05
eating duh,35,1.5,121.05
eating eating eating,35,1.5,121.05
eating eggs,35,1.5,121.05
eating enough,35,1.5,121.05
eating everything,35,1.5,121.05
eating everything in,35,1.5,121.05
eating everything in sight,35,1.5,121.05
eating everything in site,35,1.5,121.05
eating fast,35,1.5,121.05
eating fast food,35,1.5,121.05
eating fast food again,35,1.5,121.05
eating fish,35,1.5,121.05
eating food,35,1.5,121.05
eating free food,35,1.5,121.05
eating french fries,35,1.5,121.05
eating french toast,35,1.5,121.05
eating fresh,35,1.5,121.05
eating fried chicken,35,1.5,121.05
eating fried pickles,35,1.5,121.05
eating fries,35,1.5,121.05
eating frosted flakes,35,1.5,121.05
eating frozen yogurt,35,1.5,121.05
eating fruit,35,1.5,121.05
eating fruit loops,35,1.5,121.05
eating fruit snacks,35,1.5,121.05
eating fruity pebbles,35,1.5,121.05
eating gelato,35,1.5,121.05
eating gold fish,35,1.5,121.05
eating goldfish,35,1.5,121.05
eating good,35,1.5,121.05
eating good food,35,1.5,121.05
eating good http,35,1.5,121.05
eating good lol,35,1.5,121.05
eating good over here,35,1.5,121.05
eating good today,35,1.5,121.05
eating good tonight,35,1.5,121.05
eating grapes,35,1.5,121.05
eating gumbo,35,1.5,121.05
eating gummy bears,35,1.5,121.05
eating gummy worms,35,1.5,121.05
eating ham,35,1.5,121.05
eating hamburger helper,35,1.5,121.05
eating healthier,35,1.5,121.05
eating healthy,35,1.5,121.05
eating healthy again,35,1.5,121.05
eating healthy and,35,1.5,121.05
eating healthy and working out,35,1.5,121.05
eating healthy today,35,1.5,121.05
eating here,35,1.5,121.05
eating here again,35,1.5,121.05
eating here for the first time,35,1.5,121.05
eating here tonight,35,1.5,121.05
eating hot,35,1.5,121.05
eating hot cheetos,35,1.5,121.05
eating hot chips,35,1.5,121.05
eating hot dogs,35,1.5,121.05
eating hot fries,35,1.5,121.05
eating hot pockets,35,1.5,121.05
eating hot wings,35,1.5,121.05
eating hummus,35,1.5,121.05
eating ice,35,1.5,121.05
eating ice cream,35,1.5,121.05
eating ice cream and,35,1.5,121.05
eating ice cream and watching,16,1.3,104.91
eating ice cream and watching,14,1.5,121.05
eating ice cream at,35,1.5,121.05
eating ice cream with,35,1.5,121.05
eating ice cream with my,35,1.5,121.05
eating ice-cream,35,1.5,121.05
eating icecream,35,1.5,121.05
eating indian food,35,1.5,121.05
eating it,35,1.5,121.05
eating it again,35,1.5,121.05
eating it all,35,1.5,121.05
eating it lol,35,1.5,121.05
eating it now,35,1.5,121.05
eating it right now,35,1.5,121.05
eating italian,35,1.5,121.05
eating jack in,35,1.5,121.05
eating jalape,35,1.5,121.05
eating japanese,35,1.5,121.05
eating jello,35,1.5,121.05
eating jolly ranchers,35,1.5,121.05
eating junk,35,1.5,121.05
eating junk food,35,1.5,121.05
eating kfc,35,1.5,121.05
eating lasagna,35,1.5,121.05
eating late,35,1.5,121.05
eating late at night,35,1.5,121.05
eating lately,35,1.5,121.05
eating left over,35,1.5,121.05
eating left overs,35,1.5,121.05
eating leftovers,35,1.5,121.05
eating leftovers from,35,1.5,121.05
eating lemons,35,1.5,121.05
eating less,35,1.5,121.05
eating light,35,1.5,121.05
eating like,35,1.5,121.05
eating like a,35,1.5,121.05
eating like a boss,35,1.5,121.05
eating like a champ,35,1.5,121.05
eating like a fat ass,35,1.5,121.05
eating like a fatass,35,1.5,121.05
eating like a king,35,1.5,121.05
eating like a pig,35,1.5,121.05
eating like crazy,35,1.5,121.05
eating like shit,35,1.5,121.05
eating like this,35,1.5,121.05
eating like this,35,1.5,121.05
eating lobster,35,1.5,121.05
eating lots,35,1.5,121.05
eating lucky charms,35,1.5,121.05
eating lunch,35,1.5,121.05
eating lunch alone,35,1.5,121.05
eating lunch and,35,1.5,121.05
eating lunch at,35,1.5,121.05
eating lunch at my desk,35,1.5,121.05
eating lunch at the,35,1.5,121.05
eating lunch by myself,35,1.5,121.05
eating lunch in,35,1.5,121.05
eating lunch in the,35,1.5,121.05
eating lunch outside,35,1.5,121.05
eating lunch w,35,1.5,121.05
eating lunch with,35,1.5,121.05
eating lunch with dad,35,1.5,121.05
eating lunch with mom,35,1.5,121.05
eating lunch with my,35,1.5,121.05
eating lunch with my mom,35,1.5,121.05
eating lunchables,35,1.5,121.05
eating m,35,1.5,121.05
eating mac,35,1.5,121.05
eating mac and cheese,35,1.5,121.05
eating mac n cheese,35,1.5,121.05
eating macaroni,35,1.5,121.05
eating machine,35,1.5,121.05
eating mcdonald's,35,1.5,121.05
eating mcdonalds,35,1.5,121.05
eating meat,35,1.5,121.05
eating menudo,35,1.5,121.05
eating mexican,35,1.5,121.05
eating mexican food,35,1.5,121.05
eating more,35,1.5,121.05
eating my,35,1.5,121.05
eating my breakfast,35,1.5,121.05
eating my candy,35,1.5,121.05
eating my chinese food,35,1.5,121.05
eating my dinner,35,1.5,121.05
eating my emotions,35,1.5,121.05
eating my favorite food,35,1.5,121.05
eating my feelings,35,1.5,121.05
eating my feelings away,35,1.5,121.05
eating my food,35,1.5,121.05
eating my lunch,35,1.5,121.05
eating my pizza,35,1.5,121.05
eating my salad,35,1.5,121.05
eating my sorrows away,35,1.5,121.05
eating my way through,35,1.5,121.05
eating my weight in,35,1.5,121.05
eating nachos,35,1.5,121.05
eating noodles,35,1.5,121.05
eating nuggets,35,1.5,121.05
eating nutella,35,1.5,121.05
eating nuts,35,1.5,121.05
eating oatmeal,35,1.5,121.05
eating oranges,35,1.5,121.05
eating oreos,35,1.5,121.05
eating our feelings,35,1.5,121.05
eating out,35,1.5,121.05
eating out again,35,1.5,121.05
eating out today,35,1.5,121.05
eating out tonight,35,1.5,121.05
eating out w,35,1.5,121.05
eating out with the family,35,1.5,121.05
eating outside,35,1.5,121.05
eating oysters,35,1.5,121.05
eating pancakes,35,1.5,121.05
eating pancakes with,35,1.5,121.05
eating panda express,35,1.5,121.05
eating panera,35,1.5,121.05
eating pasta,35,1.5,121.05
eating pb,35,1.5,121.05
eating peaches,35,1.5,121.05
eating peanut butter,35,1.5,121.05
eating peanut butter out of the jar,35,1.5,121.05
eating peanuts,35,1.5,121.05
eating pho,35,1.5,121.05
eating pickles,35,1.5,121.05
eating pie,35,1.5,121.05
eating pineapples,35,1.5,121.05
