PHYS_ACT_PHRASE,Category,METs,calPerHour_METxWtInKGxTimeInHrs
apartment cleaned,9,3.3,266.31
apartment is clean,9,3.3,266.31
apartment shopping,13,2.3,185.61
app draw something,27,1,80.7
apple pickin',19,3.5,282.45
apple picking,19,3.5,282.45
apple picking today,19,3.5,282.45
apple picking with,19,3.5,282.45
apt shopping,13,2.3,185.61
aracde games,36,5.8,468.06
arbor walk,37,3.5,282.45
archery range,36,4.3,347.01
are on the phone,25,1.5,121.05
arguing on the phone,25,1.5,121.05
art walk http,37,3.5,282.45
art walk tonight,37,3.5,282.45
arts and crafts,15,1.8,145.26
artwalk,37,3.5,282.45
as i read,25,1.5,121.05
as i read it,25,1.5,121.05
as i read that,25,1.5,121.05
as i read this,25,1.5,121.05
as i type,25,1.5,121.05
as i type lol,25,1.5,121.05
as i type this,25,1.5,121.05
as i walk by,37,3.5,282.45
as i walk to class,37,3.5,282.45
as i walked,37,3.5,282.45
as i walked by,37,3.5,282.45
as i walked past,37,3.5,282.45
as i was reading,25,1.5,121.05
as i was walking,37,3.5,282.45
as i was walking to,37,3.5,282.45
as i was walking to class,37,3.5,282.45
as i was walking to the,37,3.5,282.45
as i watch the,16,1.3,104.91
ashtanga yoga,6,2.5,201.75
ate a,35,1.5,121.05
ate a bagel,35,1.5,121.05
ate a banana,35,1.5,121.05
ate a big mac,35,1.5,121.05
ate a bowl of,35,1.5,121.05
ate a bowl of cereal,35,1.5,121.05
ate a brownie,35,1.5,121.05
ate a bunch,35,1.5,121.05
ate a burger,35,1.5,121.05
ate a burrito,35,1.5,121.05
ate a chicken sandwich,35,1.5,121.05
ate a cookie,35,1.5,121.05
ate a donut,35,1.5,121.05
ate a foot long,35,1.5,121.05
ate a full meal,35,1.5,121.05
ate a hamburger,35,1.5,121.05
ate a hot pocket,35,1.5,121.05
ate a lot,35,1.5,121.05
ate a lot today,35,1.5,121.05
ate a muffin,35,1.5,121.05
ate a pb,35,1.5,121.05
ate a pickle,35,1.5,121.05
ate a piece of chocolate,35,1.5,121.05
ate a pizza,35,1.5,121.05
ate a salad,35,1.5,121.05
ate a sandwich,35,1.5,121.05
ate a shit load,35,1.5,121.05
ate a shit ton,35,1.5,121.05
ate a slice of pizza,35,1.5,121.05
ate a taco,35,1.5,121.05
ate a ton,35,1.5,121.05
ate a twinkie,35,1.5,121.05
ate a whole,35,1.5,121.05
ate a whole bag,35,1.5,121.05
ate a whole bag of,35,1.5,121.05
ate a whole bowl of,35,1.5,121.05
ate a whole box of,35,1.5,121.05
ate a whole can of,35,1.5,121.05
ate a whole pack of,35,1.5,121.05
ate a whole pizza,35,1.5,121.05
ate again,35,1.5,121.05
ate all,35,1.5,121.05
ate all day,35,1.5,121.05
ate all my,35,1.5,121.05
ate all my candy,35,1.5,121.05
ate all my food,35,1.5,121.05
ate all of,35,1.5,121.05
ate all of it,35,1.5,121.05
ate all of them,35,1.5,121.05
ate all that,35,1.5,121.05
ate all that food,35,1.5,121.05
ate all the,35,1.5,121.05
ate all the caviar,35,1.5,121.05
ate all the chocolate,35,1.5,121.05
ate all the food,35,1.5,121.05
ate all the ice cream,35,1.5,121.05
